"Statistic Label","Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","Other Areas (31)","2015Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2015Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2015Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2016Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2016Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2016Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2016Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2017Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2017Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2017Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2017Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2018Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2018Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2018Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2018Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2019Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2019Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2019Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (31)","2019Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2008Q1","Thousand","56.7"
"Overseas Trips to Ireland","Other Areas (32)","2008Q2","Thousand","95.2"
"Overseas Trips to Ireland","Other Areas (32)","2008Q3","Thousand","126.4"
"Overseas Trips to Ireland","Other Areas (32)","2008Q4","Thousand","73.5"
"Overseas Trips to Ireland","Other Areas (32)","2009Q1","Thousand","48.8"
"Overseas Trips to Ireland","Other Areas (32)","2009Q2","Thousand","80.3"
"Overseas Trips to Ireland","Other Areas (32)","2009Q3","Thousand","107.3"
"Overseas Trips to Ireland","Other Areas (32)","2009Q4","Thousand","71.5"
"Overseas Trips to Ireland","Other Areas (32)","2010Q1","Thousand","54.2"
"Overseas Trips to Ireland","Other Areas (32)","2010Q2","Thousand","75.2"
"Overseas Trips to Ireland","Other Areas (32)","2010Q3","Thousand","110.2"
"Overseas Trips to Ireland","Other Areas (32)","2010Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2011Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2011Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2011Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2011Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2012Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2012Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2012Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2012Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2013Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2013Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2013Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2013Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2014Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2014Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2014Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2014Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2015Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2015Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2015Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2015Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2016Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2016Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2016Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2016Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2017Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2017Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2017Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2017Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2018Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2018Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2018Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2018Q4","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2019Q1","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2019Q2","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2019Q3","Thousand",""
"Overseas Trips to Ireland","Other Areas (32)","2019Q4","Thousand",""
